,score,name,score,name,score,name,score,name,score,name,score,name
0,12,Louis Serafini,12,Daniel George,12,Aaron Knobloch,12,Chong-Hwan Son,12,Kevin Dollard,12,Howard Jones
1,10,Ping Wong,10,William Callahan,10,Philippe Belanger,10,Craig Dubois,10,Richard Clark,10,
2,8,Eric Young,8,Michael Polidori,8,Andy Reed,8,Russell Lauer,8,Timothy Fisher,8,
3,7,Patrick Hilt,7,Dallas Devries,7,Kevin Valois,7,John Sestito,7,Kevin Maloy,7,
4,6,Seth Engel,6,Daniel Brady,6,Brian Northan,6,Bart Trudeau,6,Seamus Hodgkinson,6,
5,5,Sasa Tripathy,5,Brian Lusignan,5,William Koons,5,David Hamilton,5,Rich Tanchyk,5,
6,4,Jack McCarney,4,John Clements,4,Greg Ethier,4,Steve Morse,4,Gerard Falotico,4,
7,3,Colin Dalton,3,Neil Cary,3,Gregg Johnson,3,Brian Teague,3,David Durkin,3,
8,2,,2,Douglas Secor,2,Roy Headwell,2,Kevin Morrissey,2,,2,
9,1,,1,Greg Rashford,1,William Dodds,1,Kevin Kilmer,1,,1,
