,score,name,score,name,score,name,score,name,score,name,score,name
0,12,Nick Webster,12,Shaun Donagan,12,Jake Stookey,12,John Stadtlander,12,Rick Munson,12,Thomas Adams
1,10,Ben Heller,10,John Gleeson,10,Robert Irwin,10,John Noonan,10,Mark Nunez,10,Peter Newkirk
2,8,Edson Chipalo,8,Dallas DeVries,8,Aaron Knobloch,8,David Padula,8,Richard Kelly,8,Thomas Kollar
3,7,Thomas Dansereau,7,Jonathan Couden,7,Jonathan Bright,7,Mark Stephenson,7,Kevin Donohue,7,Ray Lee
4,6,Patrick Hilt,6,Jeremy McNamara,6,Daniel Brady,6,John Sistito,6,Michael Thumann,6,
5,5,Chris Leavitt,5,Greg Bentley,5,Tom Fraser,5,Jon  Rocco,5,Vince  Kirby,5,
6,4,,4,Tom Bennett,4,Dillon Kircher,4,Bill Hoffman,4,Will Smith,4,
7,3,,3,Matt Malette,3,William Drapeau,3,James Chung,3,George Baranausks,3,
8,2,,2,Keith Johnson,2,William J Dodds,2,Peter Butryn,2,Leo DiPierro,2,
9,1,,1,,1,Chris Mulford,1,Jay Watsky,1,,1,
