,score,name,score,name,score,name,score,name,score,name,score,name
0,12,,12,,12,Jake Stookey,12,John Stadtlander,12,David Roy,12,Tom Adams
1,10,,10,,10,James O'Connor,10,John Noonan,10,Richard Clark,10,Dave Glass
2,8,,8,,8,Aaron Knobloch,8,David Padula,8,Stephen Jones,8,Peter Newkirk
3,7,,7,,7,Dennis VanVlack,7,John J. Sestito,7,Rick Munson,7,Thomas Kollar
4,6,,6,,6,Andy Reed,6,John F. Parisella,6,Mark Nunez,6,Wade Stockman
5,5,,5,,5,Todd Smith,5,Russ Lauer,5,Tom McGuire,5,"Raymond W. Lee, Jr."
6,4,,4,,4,Jonathan Bright,4,Kevin Kilmer,4,Jeff Cole,4,Ed Doucette
7,3,,3,,3,Brian Northan,3,Robert Wither,3,Michael Wright,3,
8,2,,2,,2,David Tromp,2,Randy Jerreld,2,Leo DiPierro,2,
9,1,,1,,1,Rick Zachgo,1,Timothy O'Connor,1,John Evans,1,
