,score,name,score,name,score,name,score,name,score,name,score,name
0,12,Edson Chipalo,12,Chuck Terry,12,Robert Irwin,12,Mark Stephenson,12,Rick Munson,12,Tom Adams
1,10,Ben Heller,10,Dan Jordy,10,Dennis VanVlack,10,Derrick Staley,10,Richard Clark,10,Peter Newkirk
2,8,Christopher Leavitt Leavitt,8,Jim Sweeney,8,Jonathan Bright,8,John Sestito,8,Mark Nunez,8,Jim Moore
3,7,,7,Jonathan Catlett,7,Brian Northan,7,Jon  Rocco,7,David Roy,7,Thomas Kollar
4,6,,6,Thomas Dansereau,6,John Williams-Searle,6,Vincent Wegner,6,Juergen Reher,6,Ray Lee
5,5,,5,Jonathan Louden,5,William Drapeau,5,Bob Piccirillo,5,Paul Bennett,5,
6,4,,4,Dallas DeVries,4,Erik Koeritzer,4,Richard Anconitz,4,Richard Kelly,4,
7,3,,3,Michael O'Brien,3,Kevin Reedy,3,,3,Daniel Doak,3,
8,2,,2,Carl Brewer,2,Jon Golden,2,,2,Ed  Brown,2,
9,1,,1,,1,Gene Terwilliger,1,,1,Michael Thumann,1,
