,score,name,score,name,score,name,score,name,score,name,score,name
0,12, Irene  Somerville,12, Karen  Bertasso,12, Penny  Tisko,12, Sue  Thompson,12, Karen  Dott,12, Anny  Stockman
1,10, Michelle  Davis,10, Erin  Murphy,10, Joanna  Tremper,10, Mary  Buck,10, Martha  DeGrazia,10, Eiko  Bogue
2,8, Christina  Scharmer,8, Kristin  Zielinski,8, Dana  Peterson,8, Nancy  Taormina,8, Erika  Oesterle,8,
3,7, Caitlyn  Edmundson,7,,7, Kari  Gathen,7, Patricia  Robison,7, Sharon  Deshochers,7,
4,6, Lindsey  Klinge,6,,6, Heather  Machabee,6, Sue  Cleary,6, Susan  Wong,6,
5,5, Katie  Kurtessis,5,,5, Meredith  Streeter,5, Jennifer  Thomas,5, Mary  Collins Finn,5,
6,4,,4,,4,,4, Donna  Charlebois,4, Jill  Mehan,4,
7,3,,3,,3,,3, Paula  Boughtwood,3,,3,
8,2,,2,,2,,2,,2,,2,
9,1,,1,,1,,1,,1,,1,
