,0l,1l,0r,1r,0l,1l,0r,1r,0l,1l,0r,1r
0,22.0,Michelle Davis,24,Karen Bertasso,24.0,Erin Corcoran,24.0,Denise Iannizzotto,24.0,Karen Dott,24.0,Ginny Pezzula
1,12.0,Hannah Brooker,11,Meghan Louden,14.0,Virginia Larner,20.0,Peggy McKeown,20.0,Sharon Desrochers,,
2,11.0,Kelli Timbrook,10,Alyssa Lotmore,11.0,Joanne Tramper,16.0,Mary Felton,15.0,Katherine Ambrosio,,
3,8.0,Katie Kurtessis,10,Mollie Turner,10.0,Karen Dolge,10.0,Patricia Robison,14.0,Jill  Mehan,,
4,8.0,Madeleine Hester,8,Erin Lopez,10.0,Deanne Webster,7.0,Colleen Brackett,7.0,Susan J Wong,,
5,7.0,Pam Eistertz,8,Lisa Chase,8.0,Carol Abbattisti,6.0,Karen Brady,,,,
6,7.0,Moira Hilt,7,Liz Chauhan,8.0,Amy Drag,6.0,Cheryl Feder,,,,
7,6.0,Jennifer Kehn,7,Meghan Mortensen,8.0,Connie Smith,5.0,Maureen Fitzgerald,,,,
8,5.0,Amanda Carpenter,6,Elizabeth Chauhan,7.0,Ruth Sadinsky,5.0,Kathleen Dougherty,,,,
9,4.0,Katie Hesler,5,Jessica Chapman,4.0,Lara Stelmaszyk,4.0,Kristen Hislop,,,,
10,3.0,Johanna DiCerbo,4,Jessy Montrose,4.0,Sally Drake,4.0,Silvia Lilly,,,,
11,2.0,Hanieka Balint,4,Danielle Maslowsky,3.0,Christine Chung,3.0,Tina Hayden,,,,
12,,,3,Laura Zima,2.0,Rana Meehan,2.0,Lauren Herbs,,,,
13,,,3,Erin Murphy,2.0,Rachel Toolan,2.0,Anne Hurley,,,,
14,,,2,Kari Deer,1.0,Meredith Streeter,1.0,Kim Law,,,,
15,,,2,Rebecca Tennyson,,,1.0,Deb Petredis,,,,
16,,,1,Samantha McBee,,,,,,,,
17,,,1,Katie Vitello,,,,,,,,
