,0l,1l,0r,1r,0l,1l,0r,1r,0l,1l,0r,1r
0,19.0,Nick Webster,12,Chuck Terry,22,Robert Irwin,24.0,John Stadtlander,14.0,Kevin Donohue,24.0,Tom Adams
1,16.0,Ben Heller,12,Dallas DeVries,12,Jake Stookey,16.0,David Padula,12.0,Steven Sweeney,18.0,Thomas Kollar
2,12.0,Matt Brooker,12,Shaun Donagan,11,Jonathan Bright,12.0,John Sestito,12.0,Rick Munson,15.0,Ray Lee
3,11.0,Thomas Dansereau,10,Josh Merlis,10,Volker Burkowski,11.0,Mark Stephenson,12.0,Michael Thumann,10.0,Peter Newkirk
4,10.0,Jacob Andrews,10,John Gleeson,8,Aaron Knobloch,10.0,Christian Lietzau,11.0,Richard Kelly,,
5,8.0,Edson Chipalo,8,Chris Chromczack,8,Dennis VanVlack,10.0,John Noonan,10.0,Richard Clark,,
6,8.0,Aidan Canavan,7,Jonathan Couden,7,Paul Archambault,7.0,Craig DuBois,10.0,Mark Nunez,,
7,6.0,Patrick Hilt,7,Jim Sweeney,6,Andy Reed,7.0,Jon  Rocco,8.0,Juergen Reher,,
8,5.0,Chris Herbs,6,Tom Williams,6,Daniel Brady,5.0,Ryan Mitchell,5.0,Tom McGuire,,
9,5.0,Chris Leavitt,6,Jeremy McNamara,5,Ken Tarullo,4.0,Bill Hoffman,5.0,Vince  Kirby,,
10,3.0,Ping Wong,5,Greg Bentley,5,Tom Fraser,3.0,James Chung,4.0,James Larkin,,
11,2.0,Jeremy Schaffer,5,Dave Vona,4,Dillon Kircher,3.0,Jay Thorn,4.0,Will Smith,,
12,1.0,Christopher Leavitt,4,Tom Bennett,3,Richard Hamlin,2.0,Peter Butryn,3.0,George Baranausks,,
13,,,3,Nick Whaley,3,William Drapeau,1.0,Bart Trudeau,2.0,Leo DiPierro,,
14,,,3,Matt Malette,2,Steven Nicoll,1.0,Jay Watsky,2.0,Kevin Dollard,,
15,,,2,Keith Johnson,2,William J Dodds,,,1.0,Joe Yavonditte,,
16,,,2,Rob  Ordish,1,Todd McAuley,,,,,,
17,,,1,Dan Brady,1,Chris Mulford,,,,,,
