0l,1l,0r,1r,0l,1l,0r,1r,0l,1l,0r,1r
68.0,Tim Russell,68.0,Shaun Donegan,61.0,Aaron Knobloch,66,Mark Stephenson,70.0,David Roy,70.0,James Larkin
58.0,Nick Webster,64.0,Dan Jordy,54.0,Bob Irwin,65,John Stadtlander,66.0,Rick Munson,51.0,Jim Fiore
54.0,Ben Heller,60.0,Thomas  O'Grady,51.0,Dallas DeVries,51,Kevin Creagan,52.0,Richard Clark,28.0,Jim Moore
38.0,Justin Peabody,34.0,Thomas  Dansereau,43.0,Ryan McCann,43,John Sestito,38.0,Stephen Jones,27.0,Ray Lee
24.0,Pete Rowell,30.0,Jim Sweeney,37.0,Brian Northan,34,Steve Hanagan,22.0,Tom McGuire,24.0,Dave Glass
21.0,Alex Pollinger,29.0,Christopher Leavitt,25.0,Dennis VanVlack,31,Jon Rocco,22.0,Paul Rosenberg,20.0,Ed Bown
20.0,Eric Young,27.0,Jonathan Louden,22.0,Paul Archambault,29,Brian Teague,19.0,Richard Kelly,19.0,Wade Stockman
14.0,Aaron Lozier,26.0,Chuck Terry,21.0,Greg Ethier,20,Tom Kracker,17.0,Daniel Doak,14.0,Chris Rush
14.0,Adam Burn,23.0,Josh Merlis,19.0,Volker Burkowski,16,Christian Lietzau,17.0,Steven Sweeney,12.0,David Hayes
13.0,Holden Maynard,18.0,Noah White,17.0,Andy Reed,15,Andrew Sponable,17.0,Steve Vnuk,12.0,Terry Smith
13.0,Richard J Homenick,16.0,Joe Sullivan,17.0,Erik Koenitzer,13,Ed Menis,17.0,George Baranauskas,10.0,Thomas Walsh
12.0,Adam Lang,12.0,Anthony Giuliano,15.0,Dan Filuta,13,David Troischt,16.0,John Parisella,10.0,Pete Cowie
12.0,Eric Macknight,12.0,Scott Mindel,13.0,David Tromp,12,John Noonan,16.0,Juergen Reher,10.0,Frank Myers
12.0,Matt Ninneman,10.0,Jonathan Dadekian,13.0,Tom Robinson,12,Bob Radliff,15.0,Ralph Feinstein,8.0,James Fiore
10.0,Jacob Andrews,10.0,Greg Potestio,12.0,Mike O'Toole,10,Craig Dubois,13.0,Joe Yavonditte,8.0,Joe Hayes
10.0,Alan Finder,10.0,Aaron Lozier,12.0,Jake Stookey,9,Bill Bean,12.0,Derrick Staley,7.0,James McGuinness
10.0,Noah Valvo,9.0,Robert Ordish,11.0,Gregory Fox,8,Brian Borden,10.0,Dave Cole,6.0,Joe Kelly
8.0,Peter Conboy,8.0,Michael Austin,10.0,Rick Zachgo,8,Bill Hoffman,10.0,John Carboni,6.0,Ken Skinner
7.0,Brendan Connor,8.0,John Deer,9.0,Neil Sergott,8,Don Chillrud,8.0,Steve Jones,5.0,Don Gallagher
7.0,Isaac Menis,8.0,David Newman,8.0,Brian Dillenbeck,7,Brian Coyne,8.0,Edwin Litts,4.0,Jack Berkery
6.0,Andrew Krupski,8.0,Nick Mosher,8.0,Michael Dinicola,7,John Williams-Searl,8.0,Paul Bennett,4.0,Eric Hamilton
6.0,Connor Devine,8.0,Keith Donegan,8.0,Joel Tse,7,Sam Mercado,8.0,Seamus Hodgkinson,3.0,Kenneth G. Orner
5.0,Brendan VanVlack,7.0,Nick Whaley,8.0,Robert Irwin,7,Mark Warner,7.0,Peter Butryn,,
5.0,Alexander Perry,7.0,Peter Koch,7.0,Tom Fraser,7,Frank Mueller,6.0,Brad Workman,,
5.0,Daniel Chillrud,7.0,Neil Cary,7.0,Brian Ragone,7,Randal Bushart,6.0,Edward Gravelle,,
4.0,Gary Lvov,6.0,Paul Mueller,7.0,Gil Chorbajian,7,Mike Spitzer,5.0,Michael Thumann,,
4.0,Patrick Hilt,4.0,Thomas  Ford,7.0,Gabriel McGarry,6,Bruce Beesley,5.0,Leo DiPierro,,
4.0,Andrew Yacobucci,3.0,Owen Hooper,6.0,Dan Murphy,6,Ken Tarullo,5.0,David Rowell,,
3.0,Zachary Zinzow,3.0,James Kavanagh,6.0,Mark Champigny,5,John Kinnicutt,4.0,David Durkin,,
3.0,Nathaniel Burke,2.0,Ping Wong,6.0,Sean O'Donnell,5,Pete Fish,4.0,Larry Peleggi,,
3.0,Jesse  Robinson,2.0,Fred Brooks,6.0,Christopher Mulford,5,Juan Rivelo,4.0,Martin Touhey,,
3.0,Daniel Burke,2.0,Paul Flayter,5.0,Todd McAuley,5,Craig Evans,3.0,John Evans,,
2.0,Patrick Teora,2.0,Matthew Robinson,5.0,Stefan Smith,5,Bob Piccirillo,3.0,John Sheehy,,
2.0,Jasper Travis,2.0,Kevin Newman,5.0,Geoffrey Cramer,5,Dave Wilbur,2.0,Richard Phillips,,
2.0,Noah Bonesteel,1.0,Chris Leavitt,5.0,John Bensetler,5,John Slyer,2.0,"Dominick DeLorio, Jr.",,
1.0,Gabe Robinson,1.0,Brian Carucci,5.0,Adam Fox,4,Tony Lupo,2.0,Guy Spiers,,
,,1.0,Da'meishe Wilson,4.0,Dillon Kircher,4,Robert Piccirillo,1.0,Thomas McTernan,,
,,1.0,Kenneth Shelley,4.0,Ken Tarullo,4,Rick Flaherty,,,,
,,,,4.0,Morris Auster,4,Rich Arcowitz,,,,
,,,,4.0,Denis Cote,4,Martin Callahan,,,,
,,,,4.0,Jason Pensabene,3,Chris Sanford,,,,
,,,,4.0,Yuri Lvov,3,Tim Lippert,,,,
,,,,3.0,Daniel Forgett,3,Michael Stalker,,,,
,,,,3.0,Daniel Wilchins,3,Mike  Burby,,,,
,,,,2.0,Will Koons,3,Daniel Kirk-Davidoff,,,,
,,,,2.0,Larry Perrotti,2,Steve Engel,,,,
,,,,2.0,Craig Williams,2,William Bean,,,,
,,,,2.0,Randall Cannell,2,Randy Jerreld,,,,
,,,,1.0,Patrick Lynskey,2,John Butler,,,,
,,,,1.0,Dennis Beardsley,1,Jay Watsky,,,,
,,,,1.0,Chris Nowak,1,Gary Robinson,,,,
,,,,1.0,Andrew Patterson,1,Jon Atwell,,,,
,,,,,,1,Phil Germano,,,,
,,,,,,1,John Paniccia,,,,
,,,,,,1,William Drapeau,,,,
