,score,name,score,name,score,name,score,name,score,name,score,name
0,12,Patrick Carroll,12,Chuck Terry,12,John Sullivan,12,Mike Langevin,12,Tom McGuire,12,Dave Glass
1,10,Matt Ninneman,10,David Sutliff,10,Aaron Knobloch,10,Bill Douglas,10,Richard Clark,10,George Jackson
2,8,Nathan Laing,8,Douglas Secor,8,Joseph Sullivan,8,Anthony Lupo,8,George Baranauskas,8,Joe Yavonditte
3,7,Daniel Rogers,7,Jonathan Louden,7,Stefan Smith,7,Joseph Orsini,7,Peter Fish,7,James Fiore
4,6,Andrew Krupski,6,Nicholas Berry,6,Dan Cunningham,6,John Brunner,6,Martin Touhey,6,John Vavasour
5,5,,5,Christopher McClosk,5,Shawn Kelly,5,Shig Hosoyama,5,Martin Patrick,5,Joe Kelly
6,4,,4,Ben Heller,4,Timothy Fioretti,4,Jim McMorris,4,Michael Thumann,4,
7,3,,3,Anthony Giuliano,3,Jason Butler,3,Eric Niehaus,3,Dave Cole,3,
8,2,,2,Greg Potestio,2,Andrew Fleck,2,Ben Greenberg,2,Bill Marinello,2,
9,1,,1,John Deer,1,Michael Dinicola,1,Brian Neddo,1,Daniel Berry,1,
