,score,name,score,name,score,name,score,name,score,name,score,name
0,12,Irene Somerville,12,Elizabeth Chauhan,12,Deanne Webster,12,Mary Buck,12,Adele Pace,12,
1,10,Michelle Davis,10,Janne Rand,10,Jessica Northan,10,Melody Hoffmann,10,Gerry Blathwayt,10,
2,8,Alison O'Brien,8,Amanda Hughes,8,Stacia Smith,8,Inge Aiken,8,Valerie Pezzula,8,
3,7,Jessica Berschwinge,7,Erin Murphy,7,Sheila Couch,7,Kim Law,7,,7,
4,6,Moira Hilt,6,Jennifer Thomas,6,Christine Chung,6,Sherry Ringwood,6,,6,
5,5,Amanda Ryan,5,Bethany Rice,5,Lori Gicewicz,5,Fran Veloce,5,,5,
6,4,Kelcey Heenan,4,Leigh O'Connor,4,Naomi Hoffman,4,Susan Ryan,4,,4,
7,3,Leslie Aiken,3,Jennifer Grant,3,Miriam Hardin,3,,3,,3,
8,2,Lauren Williams,2,Melissa Kwasniewski,2,Kathryn Shelton,2,,2,,2,
9,1,Samantha Felitte,1,Kristin Zielinski,1,Darcy Rickard,1,,1,,1,
