,score,name,score,name,score,name,score,name,score,name,score,name
0,12,Louis Serafini,12,Brian McNamara,12,Aaron Knobloch,12,Chong-Hwan Son,12,Kevin Dollard,12,Howard Jones
1,10,Ping Wong,10,Daniel George,10,Philippe Belanger,10,Craig Dubois,10,Richard Clark,10,
2,8,Eric Young,8,William Callahan,8,Andy Reed,8,Russell Lauer,8,Bill Sherman,8,
3,7,Patrick Hilt,7,Michael Polidori,7,Kevin Valois,7,John Sestito,7,Timothy Fisher,7,
4,6,Seth Engel,6,Dallas Devries,6,William Koons,6,Michael Davis,6,Kevin Maloy,6,
5,5,Sasa Tripathy,5,Daniel Brady,5,Greg Ethier,5,Bart Trudeau,5,Seamus Hodgkinson,5,
6,4,Jack McCarney,4,Brian Lusignan,4,Gregg Johnson,4,David Hamilton,4,Rich Tanchyk,4,
7,3,Colin Dalton,3,Joseph Miller,3,Roy Headwell,3,Steve Morse,3,Gerard Falotico,3,
8,2,,2,John Clements,2,Brian Murray,2,Brian Teague,2,David Durkin,2,
9,1,,1,Neil Cary,1,William Dodds,1,Kevin Morrissey,1,,1,
