,score,name,score,name,score,name,score,name,score,name,score,name
0,12,Louis Serafini,12,Shaun Donegan,12,Jake Stookey,12,John Stadtlander,12,Kevin Dollard,12,Dave Glass
1,10,Aaron Lozier,10,Anthony Giuliano,10,James Oconnor,10,Mike Spitzer,10,Richard Kelly,10,Patrick Glover
2,8,Nick Webster,8,John Gleeson,8,Robert Irwin,8,Mark Stephenson,8,Stephen Jones,8,Howard Jones
3,7,Branden McAuley,7,Michael Polidori,7,Volker Burkowski,7,Derrick Staley,7,George Baranauskas,7,Thomas Kollar
4,6,Ben Heller,6,Ambrose Schaffer,6,Randall Cannell,6,John Noonan,6,Peter Gerardi,6,Wade Stockman
5,5,Noah Valvo,5,Dallas Devries,5,Andy Reed,5,Thomas Kracker,5,Tom McGuire,5,Peter Newkirk
6,4,Max Hoffman,4,Paul Flayter,4,Michael Dinicola,4,Craig Dubois,4,James Larkin,4,Jim Moore
7,3,Isaac Menis,3,Jeffrey Hayes,3,Brian Northan,3,Ed Menis,3,Randall Craig,3,Joseph Richardson
8,2,Alan Finder,2,Christopher Scovill,2,Craig Tynan,2,Craig Evans,2,Chip Button,2,Raymond Lee Jr
9,1,Kyle McCormack,1,Daniel Brady,1,Ken Tarullo,1,John Sestito,1,David Rowell,1,
