,score,name,score,name,score,name,score,name,score,name,score,name
0,12,Courtney Breiner,12,Mollie Turner,12,Erin Corcoran,12,Beth Stalker,12,Karen Dott,12,Susan Wong
1,10,Megan James,10,Nicole Soblosky,10,Shanley Alber,10,Sue Thompson,10,Martha Degrazia,10,Laura Clark
2,8,Amy Babeu,8,Diana Tobon-Knobloc,8,Regina McGarvey,8,Colleen Brackett,8,Erika Oesterle,8,Anny Stockman
3,7,Irene Somerville,7,Erin Rightmyer,7,Rebecca Bednarek,7,Alyssa Risko,7,Elizabeth Herkenham,7,Eiko Bogue
4,6,Michelle Davis,6,Kara Defeo,6,Colleen Ottalagano-,6,Margaret McKeown,6,Sharon Desrochers,6,
5,5,Amanda Perri,5,Erin Wrightson,5,Virginia Larner,5,Mary Buck,5,Carolyn George,5,
6,4,Kimberly McBride,4,Danielle Maslowsky,4,Connie Smith,4,Christine Varley,4,Debra Kelley,4,
7,3,Moira Hilt,3,Erin Murphy,3,Katie Hodge,3,Mary Fenton,3,Valerie Pezzula,3,
8,2,Kerry McTiernan,2,Leah Schaffer,2,Jill Rembetski,2,Teresa Warner Maiur,2,Donna Lustenhouwer,2,
9,1,Amanda Carpenter,1,Mary Jane MacPherso,1,Kate Thies,1,Ruth Sadinsky,1,Katherine Ambrosio,1,
