,score,name,score,name,score,name,score,name,score,name,score,name
0,12,Matt Brooker,12,Shaun Donegan,12,Robert Irwin,12,John Stadtlander,12,Rick Munson,12,Dave Glass
1,10,Jacob Andrews,10,Daniel Jordy,10,Aaron Knobloch,10,Mike Spitzer,10,Stephen Jones,10,James Larkin
2,8,Aaron Lozier,8,Jim Sweeney,8,Volker Burkowski,8,Mark Stephenson,8,George Baranauskas,8,Peter Newkirk
3,7,Christopher Herbs,7,Thomas O'Grady,7,Michael Dinicola,7,Thomas Kracker,7,Richard Clark,7,Peter Thomas
4,6,Ben Heller,6,Michael Polidori,6,Andy Reed,6,Christian Lietzau,6,Daniel Doak,6,Eric Hamilton
5,5,Alan Finder,5,Robert Ordish,5,Rick Zachgo,5,Craig Dubois,5,Richard Kelly,5,Joseph Richardson
6,4,Max Hoffman,4,Ambrose Schaffer,4,Ken Tarullo,4,Bob Radliff,4,Peter Butryn,4,Raymond Lee
7,3,Daniel Burke,3,John Deer,3,Randall Cannell,3,Michael Stalker,3,Raymond Scaringe,3,
8,2,Mike Konderwich,2,Ping Wong,2,Clay Lodovice,2,Brian Borden,2,Tom McGuire,2,
9,1,Isaac Menis,1,Nick Whaley,1,Greg Ethier,1,John Sestito,1,Mark Regan,1,
