,score,name,score,name,score,name,score,name,score,name,score,name
0,12,Matt Brooker,12,Shaun Donegan,12,Jake Stookey,12,John Stadtlander,12,Rick Munson,12,Dave Glass
1,10,Jacob Andrews,10,Josh Merlis,10,Aaron Knobloch,10,Derrick Staley,10,Steven Sweeney,10,Tom Adams
2,8,Ben Heller,8,Dan Jordy,8,Dennis Vanvlack,8,Mark Stephenson,8,David Roy,8,Thomas Kollar
3,7,Edson Chipalo,7,Chris Chromczak,7,Robert Irwin,7,John Noonan,7,Stephen Jones,7,Wade Stockman
4,6,Christopher Leavitt,6,Joel Patrie,6,Michael Dinicola,6,David Padula,6,Richard Kelly,6,Joe Kelly
5,5,Andrew Krupski,5,Dallas Devries,5,Greg Ethier,5,Jon Rocco,5,Richard Clark,5,"Raymond W. Lee, Jr."
6,4,,4,Andrew Rickert,4,Randall Cannell,4,John J. Sestito,4,Bob Giambalvo,4,
7,3,,3,Jonathan Louden,3,David Tromp,3,Brian Borden,3,George Baranauskas,3,
8,2,,2,John Deer,2,Daniel Brady,2,John F. Parisella,2,Paul Bennett,2,
9,1,,1,Tom Tiberio,1,Steven Nicoll,1,Bob Kanarkiewicz,1,William Smith,1,
