,score,name,score,name,score,name,score,name,score,name,score,name
0,12,Irene Somerville,12,Alyssa Lotmore,12,Melissa Grandjean,12,Patricia Robinson,12,Karen Dott,12,Anny Stockman
1,10,Allison Kondervuich,10,Meghan Looden,10,Kate Thies,10,Mary Beth Conroy,10,Martha DeGrazia,10,
2,8,Michelle Davis,8,Kristin Zielinski,8,Teresa Grant,8,,8,Anne Lytwynec,8,
3,7,Sarah Jaeger,7,,7,Hannah Barry,7,,7,Erika Oesterle,7,
4,6,,6,,6,Linda DeDominicis,6,,6,Joan Celentano,6,
5,5,,5,,5,Michele Bourgeois,5,,5,Katherine Ambrosio,5,
6,4,,4,,4,Nicole Niles,4,,4,,4,
7,3,,3,,3,Dee Fisher-Golden,3,,3,,3,
8,2,,2,,2,,2,,2,,2,
9,1,,1,,1,,1,,1,,1,
