,score,name,score,name,score,name,score,name,score,name,score,name
0,12,Noah Valvo,12,Shaun Donegan,12,Jake Stookey,12,Mark Stephenson,12,David Roy,12,Ray Lee
1,10,Nick Webster,10,Jim Sweeney,10,Robert Irwin,10,Derrick Staley,10,Mark Nunez,10,
2,8,Jesse Robinson,8,Dan Jordy,8,Daniel Smith,8,Jon Rocco,8,Richard Clark,8,
3,7,Jasper Travis,7,Jeremy McNamara,7,Yurgy Berdersley,7,Randy Jerreld,7,Seamus Hodgkinson,7,
4,6,Tanner Litts,6,Thomas Dansereau,6,David Tromp,6,Daniel Esper,6,Richard Kelly,6,
5,5,Tom Pris,5,Tom Bennett,5,Todd McAuley,5,Tom Tift,5,Edwin Litts,5,
6,4,,4,,4,Martin Gordinier,4,Dave Wilber,4,Peter Thomas,4,
7,3,,3,,3,Andy Pris,3,Dave Cole,3,,3,
8,2,,2,,2,Chris Nowak,2,Jim Maney,2,,2,
9,1,,1,,1,Brian Dillenbeck,1,Gary Robinson,1,,1,
