,score,name,score,name,score,name,score,name,score,name,score,name
0,12,Eric Macknight,12,Shaun Donegan,12,Aaron Knobloch,12,John Stadtlander,12,David Roy,12,James Larkin
1,10,Jacob Andrews,10,Daniel Jordy,10,Paul Archambault,10,Kevin Creagan,10,Stephen Jones,10,Thomas Walsh
2,8,Aaron Lozier,8,Michael Austin,8,Michael Dinicola,8,John J. Sestito,8,John F. Parisella,8,Jim Fiore
3,7,Tim Russell,7,Jim Sweeney,7,Andy Reed,7,Andrew Sponable,7,Richard A. Munson,7,James McGuinness
4,6,Nick Webster,6,Joseph Sullivan,6,Greg Ethier,6,Bill Hoffman,6,Steven Sweeney,6,Joe Kelly
5,5,Alexander Perry,5,Robert Ordish,5,Dennis Vanvlack,5,Craig Evans,5,Steve Vnuk,5,Raymond W. Lee
6,4,Ben Heller,4,Nick Whaley,4,Ken Tarullo,4,Brian Borden,4,George Baranauskas,4,
7,3,Eric Young,3,Jonathan Louden,3,Dan Murphy,3,Michael Stalker,3,Daniel Doak,3,
8,2,Alan Finder,2,Paul Flayter,2,Rick Zachgo,2,John Williams-Searl,2,Richard Kelly,2,
9,1,Andrew Krupski,1,Da'meishe Wilson,1,David Tromp,1,Sam Mercado,1,Michael Thumann,1,
