,score,name,score,name,score,name,score,name,score,name,score,name
0,12,Tim Russell,12,Thomas O'Grady,12,Aaron Knobloch,12,Christian W Lietza,12,Stephen Jones,12,Pete Cowie
1,10,Nick Webster,10,Daniel Jordy,10,Paul Archambault,10,Mark Stephenson,10,Richard Kelly,10,David Hayes
2,8,Alan Finder,8,Noah White,8,Jonathan Catlett,8,Craig Evans,8,Tom McGuire,8,Dan Curtin
3,7,Eric Young,7,Peter Koch,7,Michael Dinicola,7,Brian Borden,7,David Rowell,7,James Fiore
4,6,Aaron Lozier,6,Paul Mueller,6,Daniel Murphy,6,John Williams-Sear,6,Geoffrey A. Moore,6,Raymond Lee
5,5,Andrew Krupski,5,Chuck Terry,5,Clay Lodovice,5,Bob Kanarkiewicz,5,Michael Thumann,5,
6,4,Adam Burn,4,Thomas Dansereau,4,Rick Zachgo,4,Michael Cebula,4,Joe Benoit,4,
7,3,Zachary Zinzow,3,John Deer,3,Erik Koenitzer,3,Jacob Reider,3,Martin Patrick,3,
8,2,,2,Jonathan Louden,2,Ken Tarullo,2,Jon Atwell,2,Michael Wright,2,
9,1,,1,David Newman,1,Chris Mulford,1,Dan Coffey,1,Martin Touhey,1,
