,score,name,score,name,score,name,score,name,score,name,score,name
0,12,Tim Russell,12,Dan Jordy,12,Aaron Knobloch,12,John Stadtlander,12,David Roy,12,James Larkin
1,10,Ben Heller,10,Greg Potestio,10,Brian Northan,10,Mark Stephenson,10,Rick Munson,10,Jim Fiore
2,8,Nick Webster,8,Jonathan Louden,8,Dallas Devries,8,Jon Rocco,8,Steve Jones,8,Jim Moore
3,7,Justin Peabody,7,David Newman,7,Brian Ragone,7,Steve Hanagan,7,Richard Clark,7,
4,6,Adam Burn,6,Christopher Leavitt,6,Mike O'Toole,6,Brian Teague,6,Richard Kelly,6,
5,5,,5,,5,Geoffrey Cramer,5,Bob Piccirillo,5,Joe Yavonditte,5,
6,4,,4,,4,Tom Robinson,4,Rich Arcowitz,4,Leo Dipierro,4,
7,3,,3,,3,,3,,3,Edwin Litts,3,
8,2,,2,,2,,2,,2,,2,
9,1,,1,,1,,1,,1,,1,
