,score,name,score,name,score,name,score,name,score,name,score,name
0,12,Pete Rowell,12,Anthony Giuliano,12,Robert Irwin,12,John Stadtlander,12,Richard A. Munson,12,Dave Glass
1,10,Tim Russell,10,Shaun Donegan,10,Ryan McCann,10,Mark Stephenson,10,Stephen Jones,10,Jim Moore
2,8,Ben Heller,8,Chuck Terry,8,Dallas DeVries,8,Christian Lietzau,8,George Baranauskas,8,James Fiore
3,7,,7,Daniel Jordy,7,David Tromp,7,Steve Hanagan,7,Tom McGuire,7,Christopher Rush
4,6,,6,Thomas O'Grady,6,Mike O'Toole,6,Samuel Mercado,6,Juergen Reher,6,Wade Stockman
5,5,,5,Thomas Dansereau,5,John Bensetler,5,Jon Rocco,5,David Rowell,5,"Raymond W. Lee, Jr."
6,4,,4,Jonathan Louden,4,Jason Pensabene,4,John J. Sestito,4,Martin Touhey,4,Jack Berkery
7,3,,3,Christopher Leavitt,3,Tom Robinson,3,Kevin Creagan,3,John Sheehy,3,Kenneth G. Orner
8,2,,2,Matthew Robinson,2,,2,William Bean,2,"Dominick DeLorio, Jr.",2,
9,1,,1,Kenneth Shelley,1,,1,Jon Atwell,1,Thomas McTernan,1,
