,score,name,score,name,score,name,score,name,score,name,score,name
0,12,Erin Hatton,12,Karen Bertasso,12,Kerri Thomas,12,Judy Guzzo,12,Margaret McKeown,12,Ginny Pezzula
1,10,Andrea Scott,10,Meghan Mortensen,10,Sally Drake,10,Sue Thompson,10,Martha DeGrazia,10,Susan Wong
2,8,Danielle Eckler,8,Martha Snyder,8,Melissa Grandjean,8,Denise Iannizzotto,8,Maureen Fitzgerald,8,
3,7,Amanda Carpenter,7,Lauren Carnahan,7,Joanna Tremper,7,Chris  Varley,7,Karen Dott,7,
4,6,Abby Brown,6,Elizabeth Chauhan,6,Colleen Ottalagano McGarrity ,6,Colleen Brackett,6,Katherine Ambrosio,6,
5,5,Cate Tomson,5,Janne Rand,5,Laura Kelly,5,Connie Smith,5,,5,
6,4,Hannah White,4,Erin Murphy,4,Kate Thies,4,Kathy Viggiano,4,,4,
7,3,Jessica Calderone,3,Sara Brenner,3,Amy Drag,3,Joanne Richardson,3,,3,
8,2,Michelle Zoltan,2,Kelly Virkler,2,Allison Bradley,2,Lauren Herbs,2,,2,
9,1,Abigail Wood ,1,Caitlyn Coody,1,Jill Filuta,1,Karen Cusato,1,,1,
