,score,name,score,name,score,name,score,name,score,name,score,name
0,12,Alexander Perry,12,Anthony Giuliano,12,Jake Stookey,12,Craig DuBois,12,Derrick Staley,12,George Jackson
1,10,David Thielke,10,Jim Sweeney,10,Volker Burkowski,10,Ken Tarullo,10,Rick Munson,10,
2,8,Brett Schlesier,8,Daniel Jordy,8,Andy Reed,8,Bill Hoffman,8,David Roy,8,
3,7,Justin Peabody,7,Peter Rowell,7,Dennis VanVlack,7,Brian Coyne,7,John Parisella,7,
4,6,Patrick Hilt,6,Tom O'Grady,6,Tom Fraser,6,Andrew Sponable,6,Jon  Weilbaker,6,
5,5,Nick Webster,5,Nicholas Curelop,5,Edward Hampston,5,Russ Hoyer,5,Kevin Donohue,5,
6,4,Jonathan Crall,4,Keith Donegan,4,Rick Zachgo,4,Bill Bean,4,Juergen Reher,4,
7,3,Eben Elias Neuman,3,Matt Becker,3,Gintaras Urmilevicius,3,Paul Denio,3,Michael Thumann,3,
8,2,Nick Janowski,2,Thomas Dansereau,2,William J Dodds,2,John Slyer,2,Daniel  Doak,2,
9,1,Andrew Krupski,1,Joe Sullivan,1,Josh Farrell,1,Pete Guzzo,1,Andrew Campbell,1,
